Indikator,Ausprägung,Jahr,Räumliche Gliederung,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Baugenehmigungen,Wohnfläche,2014,Stadt München,73.3,558740,7627,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,01 Altstadt - Lehel,92,184,2,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,02 Ludwigsvorstadt - Isarvorstadt,85,5269,62,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,03 Maxvorstadt,81.1,10380,128,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,04 Schwabing - West,72.8,14709,202,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,05 Au - Haidhausen,73.9,11605,157,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,06 Sendling,48.1,27139,564,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,07 Sendling - Westpark,77.1,43327,562,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,08 Schwanthalerhöhe,88,0,0,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,09 Neuhausen - Nymphenburg,97.1,4952,51,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
